JARR02;The Koln concert;JARRETT Keith;2
JAZZ01;Jazz à tous les étages;BRUBECK MILLER;2
JAZZ02;Jazz on Barclay;Divers;2
JONE01;Youngblood$;JONES Elvin;2
JOPL01;Original piano rolls 1899-1916;JOPLIN Scott;2
KING01;I'll play the blues for you;KING Albert;2
LUTE01;Saint Germain dance;LUTER Claude;2
MAHA01;Birds on fire;MAHAVISHNU ORCHESTRA;2
MEMP01;All kinds of blues;MEMPHIS Slim;2
MILL01;In the digital moon;The Glenn MILLER Orch.;2
MJQU01;Echoes;Modern Jazz Quartet;2
MONK01;Plays Duke Ellington;MONK Thelenious;2
MONK02;In action;MONK Thelenious;2
MONT02;Movin wes;MONTGOMERY Wes;2
MONT03;Full house;MONTGOMERY Wes;2
ORNI01;Jazz cartoons;ORNICAR BIG BAND;2
PARK01;Bird 47;PARKER Charlie;2
PETE01;Live from Chicago;PETERSON BROWN ...;2
PORT01;Any way;PORTAL Michel;2
REIN01;Live;REINHARDT Babick;2
SIMO01;Let it be me;SIMONE Nina;2
STEW01;Black and blue;STEWART Slam;2
TATU01;Tatum group masterpieces;TATUM Art;2
VAUG01;The divine;Vaughan Sarah;2
WATS01;The essantial Doc Watson;WATSON Doc;2
WILE01;La note bleue;WILEN Barney;2
YOUN01;The jazz giantz;YOUNG Lester;2
YOUN02;Early Modern;YOUNG,PARKER,GILLEPSIE;2
YOUN03;Pres and Teddy;YOUNG L et WILSON T;2
ABBA01;Story;ABBA;1
ACDC01;Highway to hell;AC/DC;1
BEAT01;Sergent Peppers;BEATLES;1
BECK01;Wired;BECK Jeff;1
BERG04;TYCON (Starmania anglais);BERGER M./ PLAMONDON L./ ;1
BERR01;20 greatest hits;BERRY Chuck;1
BLON01;The very best of;BLONDIE;1
BOWI01;The singles collection (2 CD);BOWIE David;1
BROT01;The definitive collection;Blues BROTHERS;1
BROW01;Compilation;BROWN James;1
BUFF01;Fuzzy;BUFFALO Grant Lee;1
CARM01;The drum is everything;CARMEL;1
CART01;All the best;McCARTNEY Paul;1
CELE01;Rock;CELENTANO Adrian;1
CHAP01;Crossroads;CHAPMAN Tracy;1
CLAP01;E C was here;CLAPTON Eric;1
COCK01;Joe Cocker Live;COCKER Joe;1
COMP01;de 1966 à 1975;Compilation;1
CREE01;Concert;CREEDENCE CLEARWATER REVI;1
CROS01;Déjà vu;CROSBY STILLS NASH & YOUN;1
CURE01;Kiss me;The CURE;1
DIRE01;Sultans of swing;DIRE STRAITS;1
DIRE02;Love over gold;DIRE STRAITS;1
DIRE03;Communique;DIRE STRAITS;1
DIRE04;Brothers in arms;DIRE STRAITS;1
DOOR01;L A Women;The DOORS;1
DYLA01;Subterranean homesick blues;DYLAN Bob;1
EAGL01;The legend of Eagles;EAGLES;1
EAGL02;The very best of;EAGLES;1
FERR01;Boys and girls;FERRY Bryan;1
FLEE01;Rumours;FLEETWOOD Mac;1
FOLK01;Le top du folk;FOLK;1
FRAN02;Lady soul;FRANKLIN Aretha;1
GABR01;So;GABRIEL Peter;1
GAYE01;Let's get it on;GAYE Marvin;1
GENE01;Selling England by the pound;GENESIS;1
GENE02;We can''t dance;GENESIS;1
HALE01;Oh what a world;HALE Terry Lee;1
HARP01;Welcome to the cruel world;HARPER Ben;1
HEND01;Electric Ladyland;HENDRIX Jimi;1
JACK01;Dangerous;JACKSON Michael;1
JACK02;Thriller;JACKSON Michael;1
JARR04;Breakin'away;JARREAU Al;1
JARR05;Tenderness;JARREAU Al;1
JJCA01;Shades;JJ CALE;1
JJCA02;Grasshopper;JJ CALE;1
JOHN01;The one;JOHN Elton;1
JOHN02;Don't shoot me ...;JOHN Elton;1
JONE02;Chuck E S in love;JONES Rickie Lee;1
KING02;Wrap around joy;KING Carole;1
KNIG01;Yours;Mac KNIGHT Brian;1
KOOL01;Greatest hits;KOOL and the Gang;1
KOOL02;Anthology;KOOL & THE GANG;1
LAUP01;She's so unusual;LAUPER Cyndi;1
LENN01;Imagine;LENNON John;1
MADO01;Like a virgin;MADONNA;1
MANO01;Casa Babylon;MANO NEGRA;1
MERC01;Barcelona;MERCURY Freddy et MONTSER;1
MIDL01;The Rose;MIDLER Bette & BATES Alan;1
MILL02;Fly like an eagle;MILLER Steve;1
NOTT01;Pressumed having a good time;The NOTTING HILLBILLIES;1
PART01;Les plus grands moments du Country;PARTON;1
PATT01;Nomades;PATTI Guesch;1
PINK01;Dark side of the moon;PINK FLOYD;1
POLI01;Outlands d'amour;The POLICE;1
PRES01;Forever 32 hits;PRESLEY Elvis;1
QUEE01;Innuendo;QUEEN;1
QUEE02;Live at Wembley'86;QUEEN;1
REDD01;The dock of the bay;REDDING Otis;1
REDD02;The definitive collection;REDDING Otis;1
RICH01;Back to front;RICIE Lionel;1
ROCK01;Rock in fifties seventies;Various artists;1
ROCK02;Rock n' roll;Various artists;1
ROLL01;Let it bleed;ROLLING STONES;1
ROLL02;Sticky fingers;ROLLING STONES;1
ROLL03;Hot rocks 1;ROLLING STONES;1
ROSS01;Every great n°1 Hit;ROSS Diana & The Supremes;1
ROSS03;The ultimate collection;ROSS Diana;1
SADE01;Love deluxe;SADE;1
SANT01;Greatest hits;SANTANAS;1
SIMO02;Graceland;SIMON Paul;1
SOME01;The singles collection 1984/1990;SOMERVILLE Jimmy;1
SPRI01;Human touch;SPRINGSTEEN Bruce;1
SPRI02;Born in the USA;SPRINGSTEEN Bruce;1
STEV01;The very best of...;STEVENS Cat;1
STIN01;The soul cages;STING;1
STRA01;Feline;The STRANGLERS;1
STRE01;Back to Broadway;STREISAND Barbra;1
SUMM01;The Anthology;SUMMER Donna;1
SUPE01;Even in the quitest moments;SUPERTRAMP;1
TEXA01;Southside;TEXAS;1
THAC01;Trouble man;THACKERY Jimmy;1
TURN01;River deep, mountain high;TURNER Tina & Ike;1
UUUU01;The Joshua tree;U-2;1
VANG01;The friends of Mr Cario;VANGELIS;1
VANG02;Thèmes (musiques de films);VANGELIS;1
VELV01;-;The VELVET UNDERGROUND;1
WHOO01;Who's better, who's the best;The WHOO;1
WILD01;Teases and dares;WILDE Kim;1
WOND01;Innervisions;WONDER Stevie;1
WOOD01;Generation Woodstock;WOODSTOCK;1
ZEPP01;Led Zep II;ZEPPELIN Led;1
ZZTO01;Eliminator;ZZ TOP;1
ANNE01;Ullegara;ANNEGARN Dick;3
AUFR01;Master serie;AUFRAY Hugues;3
AZNA01;Disque d'or;AZNAVOUR Charles;3
BALA01;Compilation;BALAVOINE;3
BARB01;Chatelet 87 Vol 1;BARBARA;3
BARB02;Chatelet 87 Vol 2;BARBARA;3
BARB03;Versions originales 1;BARBARA;3
BARB04;Versions originales 2;BARBARA;3
BASH01;Live tour 85;BASHUNG;3
BEAU01;Preferences;BEAU DOMMAGE;3
BECA01;Une vie comme un roman;BECAUD Gilbert;3
BERG01;Starmania;BERGER Michel;3
BERG02;Les plus belles chansons;BERGER Michel;3
BERG03;Double jeu;BERGER Michel/ GALL Franc;3
BLAN01;Branle poumons;BLANCHARD Gérard;3
BRAS01;Les copains d'abord;BRASSENS Georges;3
BREL01;Quinze ans d'amour;BREL Jacques;3
CABR01;Sarbacane;CABREL Francis;3
CABR02;Samedi soir sur la terre;CABREL Francis;3
CHAM01;neuf;CHAMFORT Alain;3
CHAR01;Immensément;CHARLEBOIS Robert;3
CHAU01;Master série;Les CHAUSSETTES NOIRES;3
CHED01;Ces mots sont pour toi;CHEDID Louis;3
CLER01;Utile;CLERC Julien;3
COUT01;Victoria sprint;COUTURE Charlélie;3
COUT02;Les naives;COUTURE Charlélie;3
DAHO01;Paris ailleurs;DAHO Etienne;3
DASS01;23 succes;DASSIN Joe;3
DUTR01;Au casino 1992;DUTRONC Jacques;3
EICH01;Engelberg;EICHER Stephan;3
EICH02;Carcassone;EICHER Stephan;3
FERN01;500 anos;FERNANDEZ Nilda;3
FERN02;Ne me fais pas mal;FERNANDEZ Nilda;3
FERR02;Rimbaud Beethoven;FERRE Léo;3
FERR03;2 CD Les années Barclay;FERRAT Jean;3
FFFF01;Free For Fever;Fédération Française de F;3
FOLY01;Rêve orange;FOLY Liane;3
FOLY02;Les petites notes;FOLY Liane;3
FRAN01;10 ans déjà;FRANCOIS Claude;3
FRAN03;3 CD Succès de la chanson française;FRANCE;3
FRED01;C'est pas d'l'amour;FREDERICKS, GOLDMAN, JONE;3
FRED02;Rouge;FREDERICKS, GOLDMAN, JONE;3
GAIN01;Histoire de Melody Nelson;GAINSBOURG Serge;3
GAIN02;Love on the beat;GAINSBOURG Serge;3
GAIN03;Couleur café;GAINSBOURG Serge;3
GALL01;31 succes;GALL France;3
GOLD02;En public;GOLDMAN Jean Jacques;3
GREC01;A l'Olympia;GRECO Juliette;3
HALL01;Le srocks les plus terribles;HALLIDAY Johnny;3
HALL02;Compil Generation Rock & Roll;HALLIDAY etc;3
HALL03;Ca ne change pas un homme;HALLIDAY Johnny;3
HARD01;Décalages;HARDY Francoise;3
